rank,title,doi,doi_url,publication_year,publication_date,journal_or_venue,cited_by_count,open_access,oa_status,oa_url,openalex_id,primary_topic,primary_subfield,work_type,retrieved_at_utc
1,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,10.1111/j.2517-6161.1995.tb02031.x,https://doi.org/10.1111/j.2517-6161.1995.tb02031.x,1995,1995-01-01,Journal of the Royal Statistical Society Series B (Statistical Methodology),109696,No,closed,,https://openalex.org/W2110065044,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
2,Regression Shrinkage and Selection Via the Lasso,10.1111/j.2517-6161.1996.tb02080.x,https://doi.org/10.1111/j.2517-6161.1996.tb02080.x,1996,1996-01-01,Journal of the Royal Statistical Society Series B (Statistical Methodology),52157,No,closed,,https://openalex.org/W2135046866,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
3,Nonparametric Estimation from Incomplete Observations,10.1080/01621459.1958.10501452,https://doi.org/10.1080/01621459.1958.10501452,1958,1958-06-01,Journal of the American Statistical Association,39181,No,closed,,https://openalex.org/W4293241248,Statistical Distribution Estimation and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
4,Statistical power analyses using G*Power 3.1: Tests for correlation and regression analyses,10.3758/brm.41.4.1149,https://doi.org/10.3758/brm.41.4.1149,2009,2009-11-01,Behavior Research Methods,36497,Yes,bronze,https://link.springer.com/content/pdf/10.3758/BRM.41.4.1149.pdf,https://openalex.org/W2072500831,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
5,Multivariate Data Analysis.,10.2307/2344428,https://doi.org/10.2307/2344428,1973,1973-01-01,Journal of the Royal Statistical Society Series A (General),35865,No,closed,,https://openalex.org/W3015634246,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
6,The central role of the propensity score in observational studies for causal effects,10.1093/biomet/70.1.41,https://doi.org/10.1093/biomet/70.1.41,1983,1983-01-01,Biometrika,31145,Yes,bronze,https://academic.oup.com/biomet/article-pdf/70/1/41/662954/70-1-41.pdf,https://openalex.org/W2150291618,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
7,Judgment under Uncertainty: Heuristics and Biases,10.1126/science.185.4157.1124,https://doi.org/10.1126/science.185.4157.1124,1974,1974-09-27,Science,28177,No,closed,,https://openalex.org/W4292157289,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
8,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,10.2307/1912934,https://doi.org/10.2307/1912934,1980,1980-05-01,Econometrica,26227,No,closed,,https://openalex.org/W2108818539,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
9,Alternative Ways of Assessing Model Fit,10.1177/0049124192021002005,https://doi.org/10.1177/0049124192021002005,1992,1992-11-01,Sociological Methods & Research,25253,No,closed,,https://openalex.org/W1992193527,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
10,Comparative fit indexes in structural models.,10.1037/0033-2909.107.2.238,https://doi.org/10.1037/0033-2909.107.2.238,1990,1990-01-01,Psychological Bulletin,23980,No,closed,,https://openalex.org/W2018201949,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
11,<b>lmerTest</b> Package: Tests in Linear Mixed Effects Models,10.18637/jss.v082.i13,https://doi.org/10.18637/jss.v082.i13,2017,2017-01-01,Journal of Statistical Software,23787,Yes,diamond,https://www.jstatsoft.org/index.php/jss/article/view/v082i13/v82i13.pdf,https://openalex.org/W2774486220,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
12,Comparing the Areas under Two or More Correlated Receiver Operating Characteristic Curves: A Nonparametric Approach,10.2307/2531595,https://doi.org/10.2307/2531595,1988,1988-09-01,Biometrics,22512,No,closed,,https://openalex.org/W2328176404,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
13,Pattern Recognition and Machine Learning,10.1117/1.2819119,https://doi.org/10.1117/1.2819119,2007,2007-01-01,Journal of Electronic Imaging,22093,No,closed,,https://openalex.org/W1663973292,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
14,A Simple Sequentially Rejective Multiple Test Procedure,10.2307/4615733,https://doi.org/10.2307/4615733,1979,1979-01-01,Scandinavian Journal of Statistics,21848,No,closed,,https://openalex.org/W2121044470,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
15,Statistical Methods,10.1097/00010694-193902000-00006,https://doi.org/10.1097/00010694-193902000-00006,1939,1939-02-01,Soil Science,19161,No,closed,,https://openalex.org/W2798643531,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
16,Investigation of the freely available easy-to-use software ‘EZR’ for medical statistics,10.1038/bmt.2012.244,https://doi.org/10.1038/bmt.2012.244,2012,2012-12-03,Bone Marrow Transplantation,18926,No,closed,,https://openalex.org/W2121960517,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
17,Longitudinal data analysis using generalized linear models,10.1093/biomet/73.1.13,https://doi.org/10.1093/biomet/73.1.13,1986,1986-01-01,Biometrika,18174,Yes,bronze,https://academic.oup.com/biomet/article-pdf/73/1/13/679793/73-1-13.pdf,https://openalex.org/W2149860264,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
18,Bootstrap Methods: Another Look at the Jackknife,10.1214/aos/1176344552,https://doi.org/10.1214/aos/1176344552,1979,1979-01-01,The Annals of Statistics,17515,Yes,bronze,https://projecteuclid.org/journals/annals-of-statistics/volume-7/issue-1/Bootstrap-Methods-Another-Look-at-the-Jackknife/10.1214/aos/1176344552.pdf,https://openalex.org/W2117897510,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
19,Nearest neighbor pattern classification,10.1109/tit.1967.1053964,https://doi.org/10.1109/tit.1967.1053964,1967,1967-01-01,IEEE Transactions on Information Theory,16319,No,closed,,https://openalex.org/W2122111042,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
20,The Unity and Diversity of Executive Functions and Their Contributions to Complex “Frontal Lobe” Tasks: A Latent Variable Analysis,10.1006/cogp.1999.0734,https://doi.org/10.1006/cogp.1999.0734,2000,2000-08-01,Cognitive Psychology,15614,No,closed,,https://openalex.org/W2124517301,Cognitive and developmental aspects of mathematical skills,Statistics and Probability,article,2026-07-24T02:35:38+00:00
21,Monte Carlo sampling methods using Markov chains and their applications,10.1093/biomet/57.1.97,https://doi.org/10.1093/biomet/57.1.97,1970,1970-04-01,Biometrika,15236,No,closed,,https://openalex.org/W2138309709,Markov Chains and Monte Carlo Methods,Statistics and Probability,article,2026-07-24T02:35:38+00:00
22,Statistical Aspects of the Analysis of Data From Retrospective Studies of Disease,10.1093/jnci/22.4.719,https://doi.org/10.1093/jnci/22.4.719,1959,1959-04-01,JNCI Journal of the National Cancer Institute,14866,No,closed,,https://openalex.org/W2150000105,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
23,Individual Comparisons by Ranking Methods,10.2307/3001968,https://doi.org/10.2307/3001968,1945,1945-12-01,Biometrics Bulletin,14592,No,closed,,https://openalex.org/W4252684946,Survey Sampling and Estimation Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
24,Measurement of Diversity,10.1038/163688a0,https://doi.org/10.1038/163688a0,1949,1949-04-30,Nature,14115,Yes,bronze,https://www.nature.com/articles/163688a0.pdf,https://openalex.org/W2087189381,Census and Population Estimation,Statistics and Probability,article,2026-07-24T02:35:38+00:00
25,ANALYZING TABLES OF STATISTICAL TESTS,10.1111/j.1558-5646.1989.tb04220.x,https://doi.org/10.1111/j.1558-5646.1989.tb04220.x,1989,1989-01-01,Evolution,13890,No,closed,,https://openalex.org/W2092613863,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
26,Estimates of the Regression Coefficient Based on Kendall's Tau,10.1080/01621459.1968.10480934,https://doi.org/10.1080/01621459.1968.10480934,1968,1968-12-01,Journal of the American Statistical Association,13262,No,closed,,https://openalex.org/W2018764772,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
27,Structural Equation Models with Unobservable Variables and Measurement Error: Algebra and Statistics,10.1177/002224378101800313,https://doi.org/10.1177/002224378101800313,1981,1981-08-01,Journal of Marketing Research,13046,No,closed,,https://openalex.org/W4230637740,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
28,Regression Quantiles,10.2307/1913643,https://doi.org/10.2307/1913643,1978,1978-01-01,Econometrica,12985,No,closed,,https://openalex.org/W4241653265,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
29,"Discussion on the paper by Spiegelhalter, Best, Carlin and van der Linde",10.1111/1467-9868.00353,https://doi.org/10.1111/1467-9868.00353,2002,2002-01-01,ArTS Archivio della ricerca di Trieste (University of Trieste https://www.units.it/),12808,No,closed,,https://openalex.org/W2057765075,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
30,Biostatistical Analysis.,10.2307/2285423,https://doi.org/10.2307/2285423,1975,1975-03-01,Journal of the American Statistical Association,12784,No,closed,,https://openalex.org/W4229668875,Statistical Methods and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
31,Asymptotic Confidence Intervals for Indirect Effects in Structural Equation Models,10.2307/270723,https://doi.org/10.2307/270723,1982,1982-01-01,Sociological Methodology,12696,No,closed,,https://openalex.org/W1976876708,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
32,Bayes Factors,10.1080/01621459.1995.10476572,https://doi.org/10.1080/01621459.1995.10476572,1995,1995-06-01,Journal of the American Statistical Association,12369,No,closed,,https://openalex.org/W4211177544,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
33,Use of Ranks in One-Criterion Variance Analysis,10.1080/01621459.1952.10483441,https://doi.org/10.1080/01621459.1952.10483441,1952,1952-12-01,Journal of the American Statistical Association,12146,No,closed,,https://openalex.org/W2041282815,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
34,An Introduction to Propensity Score Methods for Reducing the Effects of Confounding in Observational Studies,10.1080/00273171.2011.568786,https://doi.org/10.1080/00273171.2011.568786,2011,2011-05-31,Multivariate Behavioral Research,12027,Yes,bronze,https://www.tandfonline.com/doi/pdf/10.1080/00273171.2011.568786?needAccess=true,https://openalex.org/W2036193982,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
35,<tt>emcee</tt>: The MCMC Hammer,10.1086/670067,https://doi.org/10.1086/670067,2013,2013-03-01,Publications of the Astronomical Society of the Pacific,12006,Yes,bronze,https://iopscience.iop.org/article/10.1086/670067/pdf,https://openalex.org/W2063397409,Markov Chains and Monte Carlo Methods,Statistics and Probability,article,2026-07-24T02:35:38+00:00
36,Practical Statistics for Medical Research.,10.2307/2532320,https://doi.org/10.2307/2532320,1992,1992-06-01,Biometrics,11723,No,closed,,https://openalex.org/W2797597138,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
37,Fit indices in covariance structure modeling: Sensitivity to underparameterized model misspecification.,10.1037/1082-989x.3.4.424,https://doi.org/10.1037/1082-989x.3.4.424,1998,1998-12-01,Psychological Methods,11481,No,closed,,https://openalex.org/W2005092827,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
38,Applied Multivariate Statistical Analysis.,10.2307/2531616,https://doi.org/10.2307/2531616,1988,1988-09-01,Biometrics,11440,No,closed,,https://openalex.org/W2112440119,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
39,Deciding on the Number of Classes in Latent Class Analysis and Growth Mixture Modeling: A Monte Carlo Simulation Study,10.1080/10705510701575396,https://doi.org/10.1080/10705510701575396,2007,2007-10-23,Structural Equation Modeling A Multidisciplinary Journal,11031,No,closed,,https://openalex.org/W2090330784,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
40,Robust Locally Weighted Regression and Smoothing Scatterplots,10.1080/01621459.1979.10481038,https://doi.org/10.1080/01621459.1979.10481038,1979,1979-12-01,Journal of the American Statistical Association,10983,No,closed,,https://openalex.org/W2024081693,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
41,Missing data: Our view of the state of the art.,10.1037/1082-989x.7.2.147,https://doi.org/10.1037/1082-989x.7.2.147,2002,2002-01-01,Psychological Methods,10961,No,closed,,https://openalex.org/W2156267802,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
42,The control of the false discovery rate in multiple testing under dependency,10.1214/aos/1013699998,https://doi.org/10.1214/aos/1013699998,2001,2001-08-01,The Annals of Statistics,10852,Yes,bronze,https://projecteuclid.org/journals/annals-of-statistics/volume-29/issue-4/The-control-of-the-false-discovery-rate-in-multiple-testing/10.1214/aos/1013699998.pdf,https://openalex.org/W1596515083,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
43,A Caution Regarding Rules of Thumb for Variance Inflation Factors,10.1007/s11135-006-9018-6,https://doi.org/10.1007/s11135-006-9018-6,2007,2007-03-12,Quality & Quantity,10639,No,closed,,https://openalex.org/W2140964565,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
44,Cross-Validatory Choice and Assessment of Statistical Predictions,10.1111/j.2517-6161.1974.tb00994.x,https://doi.org/10.1111/j.2517-6161.1974.tb00994.x,1974,1974-01-01,Journal of the Royal Statistical Society Series B (Statistical Methodology),10596,No,closed,,https://openalex.org/W2112081648,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
45,Correlation Coefficients: Appropriate Use and Interpretation,10.1213/ane.0000000000002864,https://doi.org/10.1213/ane.0000000000002864,2018,2018-02-25,Anesthesia & Analgesia,10575,Yes,hybrid,https://doi.org/10.1213/ane.0000000000002864,https://openalex.org/W2793350103,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
46,Random effects structure for confirmatory hypothesis testing: Keep it maximal,10.1016/j.jml.2012.11.001,https://doi.org/10.1016/j.jml.2012.11.001,2013,2013-01-03,Journal of Memory and Language,10521,Yes,green,https://osf.io/9rqwz,https://openalex.org/W2141845152,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
47,Measuring the Accuracy of Diagnostic Systems,10.1126/science.3287615,https://doi.org/10.1126/science.3287615,1988,1988-06-03,Science,10059,No,closed,,https://openalex.org/W1990748933,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
